model,column,n,mean,median,std,q25,q75,min,max
LLaVA,clipscore_drop,2000,0.1479,0.0000,1.9726,-0.2543,0.4307,-9.9340,18.8431
LLaVA,clipscore_post_direct,2000,32.0361,31.9641,3.2227,29.8214,34.0885,21.3835,46.2584
LLaVA,clipscore_recon,2000,31.8883,31.7966,3.1892,29.8269,33.9339,20.3093,43.1010
LLaVA,reproj_cosine_recon,2000,0.9847,0.9847,0.0040,0.9823,0.9876,0.9611,0.9934
LLaVA,reproj_mse_recon,2000,0.0055,0.0054,0.0017,0.0043,0.0065,0.0024,0.0182
LLaVA,bertscore_recon_vs_post_f1,2000,0.9764,0.9814,0.0247,0.9586,1.0000,0.8750,1.0000
Idefics2,clipscore_drop,2000,0.5328,0.1124,2.2999,-0.7237,1.6721,-9.0413,10.0523
Idefics2,clipscore_post_direct,2000,27.7641,27.3561,3.0424,25.6054,29.7301,17.9061,37.8376
Idefics2,clipscore_recon,2000,27.2314,26.9736,2.4978,25.5191,28.6914,17.7586,37.0548
Idefics2,reproj_cosine_recon,2000,0.7648,0.7593,0.0781,0.7168,0.8057,0.5221,0.9544
Idefics2,reproj_mse_recon,2000,0.2531,0.2630,0.0775,0.2151,0.3055,0.0489,0.4634
Idefics2,bertscore_recon_vs_post_f1,2000,0.9567,0.9557,0.0276,0.9388,0.9752,0.7941,1.0000
Qwen-2.5-VL,clipscore_drop,2000,0.2204,0.1363,1.9407,-0.7419,1.2109,-10.2810,9.7001
Qwen-2.5-VL,clipscore_post_direct,2000,36.2640,36.3044,3.1693,34.2861,38.3219,22.5082,47.6483
Qwen-2.5-VL,clipscore_recon,2000,36.0436,36.0926,3.0474,34.0132,38.1699,23.8782,47.1636
Qwen-2.5-VL,reproj_cosine_recon,2000,0.9104,0.9106,0.0135,0.9030,0.9184,0.7948,0.9526
Qwen-2.5-VL,reproj_mse_recon,2000,0.3059,0.2938,0.1024,0.2388,0.3566,0.0755,0.9788
Qwen-2.5-VL,bertscore_recon_vs_post_f1,2000,0.9554,0.9543,0.0230,0.9395,0.9720,0.8654,1.0000
Qwen-3.5,clipscore_drop,2000,2.2681,1.6948,3.9332,-0.3414,4.0947,-7.3280,26.7445
Qwen-3.5,clipscore_post_direct,2000,35.7202,35.6147,3.1540,33.5616,37.8600,23.9290,46.8757
Qwen-3.5,clipscore_recon,2000,33.4521,33.7592,3.6365,31.4824,35.8025,13.0969,42.6182
Qwen-3.5,reproj_cosine_recon,2000,0.8994,0.9047,0.0252,0.8919,0.9152,0.7261,0.9465
Qwen-3.5,reproj_mse_recon,2000,0.0277,0.0276,0.0050,0.0245,0.0307,0.0093,0.0529
Qwen-3.5,bertscore_recon_vs_post_f1,2000,0.8017,0.8113,0.0400,0.7714,0.8335,0.6920,0.8878
